Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 601: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 611: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 621: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 631: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 641: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 651: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 661: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 671: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 681: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 691: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 701: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 711: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 721: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 731: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 741: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 751: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 761: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 771: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 781: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 791: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 801: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 811: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 821: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 831: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 841: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
