Train Episode: 51	Loss: 1.623046	Accuracy: 0.580	Current Training Data Per Class 1: 16	Loss 2: 5.381184	Accuracy 2: 0.000	Current Training Data Per Class 2: 23	 Total loss: 3.502115	 Total Accuracy: 0.290
Train Episode: 52	Loss: 1.740499	Accuracy: 0.380	Current Training Data Per Class 1: 24	Loss 2: 5.197726	Accuracy 2: 0.000	Current Training Data Per Class 2: 9	 Total loss: 3.469112	 Total Accuracy: 0.190
Train Episode: 53	Loss: 1.844099	Accuracy: 0.510	Current Training Data Per Class 1: 32	Loss 2: 4.952082	Accuracy 2: 0.000	Current Training Data Per Class 2: 36	 Total loss: 3.398091	 Total Accuracy: 0.255
Train Episode: 54	Loss: 1.047970	Accuracy: 0.710	Current Training Data Per Class 1: 25	Loss 2: 5.811769	Accuracy 2: 0.000	Current Training Data Per Class 2: 21	 Total loss: 3.429870	 Total Accuracy: 0.355
Train Episode: 55	Loss: 1.989617	Accuracy: 0.340	Current Training Data Per Class 1: 5	Loss 2: 6.129537	Accuracy 2: 0.000	Current Training Data Per Class 2: 25	 Total loss: 4.059577	 Total Accuracy: 0.170
Train Episode: 56	Loss: 1.262750	Accuracy: 0.450	Current Training Data Per Class 1: 24	Loss 2: 7.774340	Accuracy 2: 0.000	Current Training Data Per Class 2: 26	 Total loss: 4.518545	 Total Accuracy: 0.225
Train Episode: 57	Loss: 1.147222	Accuracy: 0.620	Current Training Data Per Class 1: 31	Loss 2: 6.929333	Accuracy 2: 0.000	Current Training Data Per Class 2: 12	 Total loss: 4.038278	 Total Accuracy: 0.310
Train Episode: 58	Loss: 1.079158	Accuracy: 0.690	Current Training Data Per Class 1: 26	Loss 2: 10.030680	Accuracy 2: 0.000	Current Training Data Per Class 2: 7	 Total loss: 5.554919	 Total Accuracy: 0.345
Train Episode: 59	Loss: 6.101789	Accuracy: 0.000	Current Training Data Per Class 1: 33	Loss 2: 1.792851	Accuracy 2: 0.480	Current Training Data Per Class 2: 21	 Total loss: 3.947320	 Total Accuracy: 0.240
Train Episode: 60	Loss: 2.039617	Accuracy: 0.250	Current Training Data Per Class 1: 15	Loss 2: 6.486795	Accuracy 2: 0.000	Current Training Data Per Class 2: 34	 Total loss: 4.263206	 Total Accuracy: 0.125
