Episode: 2191: [-0.09792988 -0.14579657  0.1269054 ] 
Episode: 2201: [-0.09811568 -0.14679097  0.1275637 ] 
Episode: 2211: [-0.09817843 -0.14757693  0.12802944] 
Episode: 2221: [-0.09906881 -0.14807251  0.12887695] 
Episode: 2231: [-0.09923144 -0.14861473  0.12927538] 
Episode: 2241: [-0.10023223 -0.14773816  0.12945375] 
Episode: 2251: [-0.10043832 -0.14782912  0.12963803] 
Episode: 2261: [-0.10012531 -0.14760171  0.12930958] 
Episode: 2271: [-0.09946927 -0.14772289  0.12894599] 
Episode: 2281: [-0.09961405 -0.14769435  0.12902553] 
Episode: 2291: [-0.09968436 -0.14801142  0.12924393] 
Episode: 2301: [-0.09970605 -0.14784479  0.1291673 ] 
Episode: 2311: [-0.09962033 -0.14845589  0.12944372] 
Episode: 2321: [-0.09993757 -0.14832455  0.1295804 ] 
Episode: 2331: [-0.09957091 -0.14899687  0.12970626] 
Episode: 2341: [-0.0998476  -0.14955634  0.1301936 ] 
Episode: 2351: [-0.0991147  -0.1496139   0.12974238] 
Episode: 2361: [-0.09927118 -0.14987592  0.12998858] 
Episode: 2371: [-0.09964842 -0.15095092  0.13082416] 
Episode: 2381: [-0.09935174 -0.15179767  0.13109043] 
Episode: 2391: [-0.09983994 -0.15207224  0.13156305] 
Episode: 2401: [-0.10181043 -0.14814106  0.13015331] 
Episode: 2411: [-0.10364933 -0.143168    0.12794702] 
Episode: 2421: [-0.1025351 -0.1425953  0.1267169] 
Episode: 2431: [-0.10050878 -0.14289801  0.12544051] 
Episode: 2441: [-0.09837066 -0.14294297  0.12389709] 
Episode: 2451: [-0.09584818 -0.14212626  0.12145543] 
Episode: 2461: [-0.09351628 -0.14081183  0.11880085] 
Episode: 2471: [-0.09165553 -0.14015232  0.11696092] 
Episode: 2481: [-0.08948573 -0.13945366  0.11486667] 
Episode: 2491: [-0.08769343 -0.13924012  0.11339512] 
Episode: 2501: [-0.08550579 -0.13884614  0.11150453] 
Episode: 2511: [-0.08355011 -0.1382835   0.10966554] 
Episode: 2521: [-0.08168818 -0.13808908  0.10815677] 
Episode: 2531: [-0.08089994 -0.1381835   0.10764353] 
Episode: 2541: [-0.08025158 -0.1381894   0.10717046] 
Episode: 2551: [-0.07869413 -0.13824171  0.10606109] 
Episode: 2561: [-0.0776146  -0.13858515  0.10550952] 
Episode: 2571: [-0.07621056 -0.13885157  0.10466433] 
Episode: 2581: [-0.07569496 -0.13930398  0.1046047 ] 
Episode: 2591: [-0.07564983 -0.14017203  0.10518535] 
Episode: 2601: [-0.07610931 -0.14086857  0.10601632] 
Episode: 2611: [-0.0762156  -0.14138277  0.10645805] 
Episode: 2621: [-0.07635994 -0.14226347  0.10718688] 
Episode: 2631: [-0.07670254 -0.14273344  0.10777161] 
Episode: 2641: [-0.07665282 -0.14358078  0.1083342 ] 
Episode: 2651: [-0.07697637 -0.14388701  0.10878923] 
Episode: 2661: [-0.07681978 -0.1443077   0.1089714 ] 
Episode: 2671: [-0.07617031 -0.14425921  0.10845778] 
Episode: 2681: [-0.07629688 -0.14390345  0.10829911] 
Episode: 2691: [-0.07662899 -0.14384197  0.10850091] 
