Episode: 1201: [ 0.00081609  0.00074827  0.00064513  0.00033859 -0.00063931] 
Episode: 1211: [ 0.00081034  0.00074158  0.00063765  0.00032935 -0.00063205] 
Episode: 1221: [ 0.00079693  0.00072716  0.00062225  0.00031178 -0.00061689] 
Episode: 1231: [ 0.00080079  0.00072976  0.0006238   0.00031138 -0.00061882] 
Episode: 1241: [ 0.00081262  0.00074049  0.00063365  0.00031992 -0.00062908] 
Episode: 1251: [ 0.00082583  0.00075216  0.00064422  0.00032897 -0.00064024] 
Episode: 1261: [ 0.00082317  0.00074851  0.00063981  0.0003232  -0.00063614] 
Episode: 1271: [ 0.00081813  0.00074289  0.0006336   0.00031576 -0.00063009] 
Episode: 1281: [ 0.00081561  0.00073924  0.00062874  0.00030881 -0.00062563] 
Episode: 1291: [ 0.00081294  0.00073536  0.00062363  0.00030136 -0.00062089] 
Episode: 1301: [ 0.00081663  0.00073882  0.00062681  0.00030359 -0.00062404] 
Episode: 1311: [ 0.00082384  0.00074547  0.00063299  0.00030864 -0.00063034] 
Episode: 1321: [ 0.00083339  0.00075426  0.00064113  0.0003155  -0.00063869] 
Episode: 1331: [ 0.00083886  0.00075833  0.00064403  0.00031669 -0.00064213] 
Episode: 1341: [ 0.00083962  0.00075787  0.00064264  0.00031426 -0.00064128] 
Episode: 1351: [ 0.00083878  0.00075605  0.00064001  0.00031034 -0.000639  ] 
Episode: 1361: [ 0.00082939  0.00074599  0.00062941  0.00029894 -0.00062865] 
Episode: 1371: [ 0.00082517  0.00074206  0.0006257   0.00029543 -0.00062481] 
Episode: 1381: [ 0.00082314  0.00074033  0.00062427  0.00029442 -0.00062325] 
Episode: 1391: [ 0.00081493  0.00073177  0.00061553  0.00028551 -0.00061465] 
Episode: 1401: [ 0.00080695  0.00072263  0.00060537  0.00027384 -0.00060494] 
Episode: 1411: [ 0.00081464  0.00072949  0.00061145  0.00027843 -0.00061127] 
Episode: 1421: [ 0.00081249  0.00072814  0.00061058  0.00027715 -0.00060985] 
Episode: 1431: [ 0.00081117  0.0007266   0.00060891  0.0002747  -0.00060812] 
Episode: 1441: [ 0.00080942  0.00072401  0.00060563  0.00027029 -0.00060513] 
Episode: 1451: [ 0.00081196  0.00072539  0.00060581  0.00026851 -0.00060574] 
Episode: 1461: [ 0.00079836  0.0007109   0.00059006  0.00024989 -0.00059017] 
Episode: 1471: [ 0.0007911   0.0007026   0.00058061  0.000238   -0.00058098] 
Episode: 1481: [ 0.00078523  0.00069593  0.00057312  0.0002289  -0.00057373] 
Episode: 1491: [ 0.00078114  0.00069087  0.00056726  0.00022208 -0.00056829] 
Episode: 1501: [ 0.00077192  0.0006808   0.00055626  0.00020972 -0.00055766] 
Episode: 1511: [ 0.00076237  0.00067045  0.00054555  0.00019875 -0.00054727] 
Episode: 1521: [ 0.00075936  0.00066616  0.0005401   0.00019153 -0.00054231] 
Episode: 1531: [ 0.000767    0.00067235  0.00054527  0.00019592 -0.00054818] 
Episode: 1541: [ 0.00076718  0.00067206  0.00054445  0.00019422 -0.00054754] 
Episode: 1551: [ 0.00075819  0.0006629   0.00053489  0.0001833  -0.0005379 ] 
Episode: 1561: [ 0.0007375   0.00064156  0.00051265  0.00015917 -0.00051583] 
Episode: 1571: [ 0.00072923  0.00063291  0.00050341  0.00014851 -0.00050664] 
Episode: 1581: [ 0.00072286  0.00062678  0.00049701  0.000141   -0.00050006] 
Episode: 1591: [ 0.00072464  0.00062955  0.00050022  0.00014429 -0.00050281] 
Episode: 1601: [ 0.00072908  0.00063333  0.00050336  0.00014615 -0.00050614] 
Episode: 1611: [ 0.00071753  0.00062135  0.00049062  0.00013173 -0.00049349] 
Episode: 1621: [ 0.00071055  0.00061375  0.00048216  0.00012117 -0.00048512] 
Episode: 1631: [ 0.00070759  0.00061085  0.00047911  0.00011702 -0.00048186] 
Episode: 1641: [ 0.00069919  0.00060259  0.00047083  0.00010804 -0.00047339] 
Episode: 1651: [ 0.00070828  0.00061181  0.00048055  0.00011835 -0.00048297] 
Episode: 1661: [ 0.00071426  0.00061817  0.00048727  0.00012546 -0.0004895 ] 
Episode: 1671: [ 0.00070068  0.00060364  0.00047223  0.00011016 -0.0004749 ] 
Episode: 1681: [ 6.8710773e-04  5.8931939e-04  4.5748692e-04  9.5172487e-05
 -4.6050127e-04] 
Episode: 1691: [ 6.7430589e-04  5.7556562e-04  4.4312974e-04  7.9489400e-05
 -4.4637502e-04] 
Episode: 1701: [ 6.8646896e-04  5.8655691e-04  4.5337944e-04  8.8010092e-05
 -4.5688509e-04] 
Episode: 1711: [ 6.9323444e-04  5.9391517e-04  4.6101090e-04  9.5099254e-05
 -4.6409605e-04] 
Episode: 1721: [ 6.8170234e-04  5.8286474e-04  4.5012290e-04  8.3451625e-05
 -4.5281992e-04] 
Episode: 1731: [ 6.6479953e-04  5.6825869e-04  4.3710737e-04  7.2283903e-05
 -4.3885381e-04] 
Episode: 1741: [ 6.5247016e-04  5.5820792e-04  4.2850943e-04  6.5763234e-05
 -4.2943508e-04] 
Episode: 1751: [ 6.4722315e-04  5.5246259e-04  4.2228462e-04  5.8382146e-05
 -4.2330331e-04] 
Episode: 1761: [ 6.3313078e-04  5.3792872e-04  4.0766143e-04  4.3648368e-05
 -4.0881149e-04] 
Episode: 1771: [ 6.3498062e-04  5.3931848e-04  4.0904817e-04  4.5285429e-05
 -4.1037728e-04] 
Episode: 1781: [ 6.3040270e-04  5.3348549e-04  4.0289084e-04  3.9406281e-05
 -4.0477182e-04] 
Episode: 1791: [ 6.2522833e-04  5.2655523e-04  3.9521974e-04  3.0860963e-05
 -3.9771508e-04] 
Episode: 1801: [ 6.2435609e-04  5.2371388e-04  3.9133921e-04  2.5634028e-05
 -3.9454162e-04] 
Episode: 1811: [ 6.1629905e-04  5.1329785e-04  3.7913490e-04  1.1038072e-05
 -3.8327370e-04] 
Episode: 1821: [ 6.2850158e-04  5.2311394e-04  3.8708583e-04  1.6626138e-05
 -3.9221405e-04] 
Episode: 1831: [ 6.3373835e-04  5.2869524e-04  3.9230473e-04  2.1094216e-05
 -3.9734904e-04] 
Episode: 1841: [ 6.3305825e-04  5.2820536e-04  3.9195837e-04  2.0666614e-05
 -3.9686161e-04] 
Episode: 1851: [ 6.4051081e-04  5.3519674e-04  3.9901846e-04  2.8087685e-05
 -4.0409109e-04] 
Episode: 1861: [ 6.2807009e-04  5.2214233e-04  3.8581976e-04  1.4831487e-05
 -3.9110842e-04] 
Episode: 1871: [ 6.1212492e-04  5.0471642e-04  3.6765149e-04 -4.3067475e-06
 -3.7346219e-04] 
Episode: 1881: [ 5.9568451e-04  4.8724803e-04  3.4956550e-04 -2.3052778e-05
 -3.5579383e-04] 
Episode: 1891: [ 6.0058181e-04  4.9121544e-04  3.5315304e-04 -2.0085345e-05
 -3.5966263e-04] 
Episode: 1901: [ 6.10856281e-04  5.00777795e-04  3.62243736e-04 -1.28205265e-05
 -3.68735899e-04] 
Episode: 1911: [ 6.0165458e-04  4.9141946e-04  3.5293034e-04 -2.3168786e-05
 -3.5919072e-04] 
Episode: 1921: [ 5.7965511e-04  4.6829623e-04  3.2900157e-04 -4.8798407e-05
 -3.3554944e-04] 
Episode: 1931: [ 5.5274158e-04  4.3994008e-04  3.0012650e-04 -7.8438206e-05
 -3.0712227e-04] 
Episode: 1941: [ 0.00052602  0.00041235  0.00027261 -0.00010547 -0.00027991] 
Episode: 1951: [ 0.00050722  0.00039032  0.0002487  -0.00013183 -0.00025719] 
Episode: 1961: [ 0.0005163   0.00039858  0.00025652 -0.00012468 -0.00026528] 
Episode: 1971: [ 0.00052093  0.00040355  0.00026114 -0.0001209  -0.00026979] 
Episode: 1981: [ 0.00049918  0.00038321  0.0002411  -0.00014127 -0.00024916] 
Episode: 1991: [ 0.00047623  0.0003614   0.00022056 -0.00016054 -0.00022799] 
Episode: 2001: [ 0.00049875  0.0003829   0.00024152 -0.00014034 -0.00024929] 
Episode: 2011: [ 0.00052328  0.00040359  0.00025966 -0.00012436 -0.00026919] 
Episode: 2021: [ 0.00052735  0.00040714  0.00026232 -0.0001226  -0.00027222] 
Episode: 2031: [ 5.4869044e-04  4.3025039e-04  2.8609222e-04 -9.8646946e-05
 -2.9525178e-04] 
Episode: 2041: [ 0.00054165  0.00042307  0.00027836 -0.00010753 -0.00028756] 
Episode: 2051: [ 0.0005053   0.00038635  0.00024106 -0.00014532 -0.00025053] 
Episode: 2061: [ 0.0004626   0.00034122  0.00019423 -0.00019334 -0.0002049 ] 
Episode: 2071: [ 0.00044526  0.00032032  0.00017076 -0.00021891 -0.00018314] 
Episode: 2081: [ 0.00042855  0.00030084  0.00014988 -0.00024147 -0.00016327] 
Episode: 2091: [ 0.00040655  0.00027698  0.00012538 -0.00026661 -0.00013942] 
Episode: 2101: [ 0.00039671  0.00026599  0.00011424 -0.00027819 -0.00012854] 
Episode: 2111: [ 3.7294958e-04  2.4278702e-04  9.2239388e-05 -2.9957620e-04
 -1.0593709e-04] 
Episode: 2121: [ 3.83972132e-04  2.50596175e-04  9.85099541e-05 -2.96039740e-04
 -1.13152455e-04] 
Episode: 2131: [ 3.6520854e-04  2.3091058e-04  7.7643999e-05 -3.1978369e-04
 -9.2430215e-05] 
Episode: 2141: [ 3.4558077e-04  2.1059238e-04  5.5624550e-05 -3.4466898e-04
 -7.0763490e-05] 
Episode: 2151: [ 3.4005393e-04  2.0757386e-04  5.2970885e-05 -3.4801551e-04
 -6.7118148e-05] 
Episode: 2161: [ 3.3180817e-04  2.0111042e-04  4.7362479e-05 -3.5316235e-04
 -6.0731240e-05] 
Episode: 2171: [ 3.0302801e-04  1.7098634e-04  1.6241516e-05 -3.8549717e-04
 -3.0168259e-05] 
Episode: 2181: [ 2.5630140e-04  1.2238584e-04 -3.2718606e-05 -4.3483847e-04
  1.8222916e-05] 
Episode: 2191: [ 2.5475846e-04  1.1576681e-04 -4.1884134e-05 -4.4696807e-04
  2.5511217e-05] 
Episode: 2201: [ 2.4123868e-04  1.0035330e-04 -5.7713263e-05 -4.6244703e-04
  4.0561939e-05] 
Episode: 2211: [ 2.2605175e-04  8.4779924e-05 -7.3050840e-05 -4.7773743e-04
  5.5909684e-05] 
Episode: 2221: [ 2.1178990e-04  6.6812878e-05 -9.2132374e-05 -4.9768196e-04
  7.3687079e-05] 
Episode: 2231: [ 2.0178004e-04  5.0927112e-05 -1.1128074e-04 -5.1945628e-04
