Train Episode: 61	Loss: 0.988218	Accuracy: 0.640	MetaParam_1: 0.018209	MetaParam_2: -0.030678	MetaParam_3: 0.008800
Train Episode: 62	Loss: 1.237283	Accuracy: 0.480	MetaParam_1: 0.018186	MetaParam_2: -0.031011	MetaParam_3: 0.008702
Train Episode: 63	Loss: 0.482315	Accuracy: 0.780	MetaParam_1: 0.018175	MetaParam_2: -0.031373	MetaParam_3: 0.008620
Train Episode: 64	Loss: 0.830179	Accuracy: 0.740	MetaParam_1: 0.018167	MetaParam_2: -0.031764	MetaParam_3: 0.008561
Train Episode: 65	Loss: 0.590298	Accuracy: 0.680	MetaParam_1: 0.018170	MetaParam_2: -0.032207	MetaParam_3: 0.008568
Train Episode: 66	Loss: 0.969924	Accuracy: 0.600	MetaParam_1: 0.018176	MetaParam_2: -0.032638	MetaParam_3: 0.008627
Train Episode: 67	Loss: 1.150162	Accuracy: 0.560	MetaParam_1: 0.018173	MetaParam_2: -0.033046	MetaParam_3: 0.008684
Train Episode: 68	Loss: 0.639484	Accuracy: 0.740	MetaParam_1: 0.018141	MetaParam_2: -0.033328	MetaParam_3: 0.008720
Train Episode: 69	Loss: 1.101705	Accuracy: 0.640	MetaParam_1: 0.018125	MetaParam_2: -0.033611	MetaParam_3: 0.008738
Train Episode: 70	Loss: 0.951155	Accuracy: 0.520	MetaParam_1: 0.018149	MetaParam_2: -0.033981	MetaParam_3: 0.008279
Train Episode: 71	Loss: 1.202178	Accuracy: 0.420	MetaParam_1: 0.018170	MetaParam_2: -0.034365	MetaParam_3: 0.007883
Train Episode: 72	Loss: 1.167026	Accuracy: 0.420	MetaParam_1: 0.018225	MetaParam_2: -0.034878	MetaParam_3: 0.007487
Train Episode: 73	Loss: 1.462211	Accuracy: 0.440	MetaParam_1: 0.018281	MetaParam_2: -0.035434	MetaParam_3: 0.007193
Train Episode: 74	Loss: 0.695815	Accuracy: 0.740	MetaParam_1: 0.018334	MetaParam_2: -0.035838	MetaParam_3: 0.006825
Train Episode: 75	Loss: 0.751379	Accuracy: 0.660	MetaParam_1: 0.018389	MetaParam_2: -0.036272	MetaParam_3: 0.006594
Train Episode: 76	Loss: 0.785853	Accuracy: 0.720	MetaParam_1: 0.018445	MetaParam_2: -0.036708	MetaParam_3: 0.006452
Train Episode: 77	Loss: 0.808204	Accuracy: 0.680	MetaParam_1: 0.018502	MetaParam_2: -0.037164	MetaParam_3: 0.006382
Train Episode: 78	Loss: 1.408513	Accuracy: 0.480	MetaParam_1: 0.018565	MetaParam_2: -0.037637	MetaParam_3: 0.006401
Train Episode: 79	Loss: 1.175642	Accuracy: 0.460	MetaParam_1: 0.018602	MetaParam_2: -0.038077	MetaParam_3: 0.006488
Train Episode: 80	Loss: 1.379464	Accuracy: 0.460	MetaParam_1: 0.018642	MetaParam_2: -0.038563	MetaParam_3: 0.006584
Train Episode: 81	Loss: 1.300268	Accuracy: 0.500	MetaParam_1: 0.018695	MetaParam_2: -0.039066	MetaParam_3: 0.006635
Train Episode: 82	Loss: 0.848657	Accuracy: 0.660	MetaParam_1: 0.018707	MetaParam_2: -0.039481	MetaParam_3: 0.006724
Train Episode: 83	Loss: 1.457610	Accuracy: 0.420	MetaParam_1: 0.018723	MetaParam_2: -0.039840	MetaParam_3: 0.006868
Train Episode: 84	Loss: 0.460741	Accuracy: 0.880	MetaParam_1: 0.018739	MetaParam_2: -0.040013	MetaParam_3: 0.007069
Train Episode: 85	Loss: 0.732456	Accuracy: 0.720	MetaParam_1: 0.018763	MetaParam_2: -0.040246	MetaParam_3: 0.007285
Train Episode: 86	Loss: 0.717414	Accuracy: 0.740	MetaParam_1: 0.018782	MetaParam_2: -0.040514	MetaParam_3: 0.007520
Train Episode: 87	Loss: 0.926476	Accuracy: 0.680	MetaParam_1: 0.018797	MetaParam_2: -0.040780	MetaParam_3: 0.007744
Train Episode: 88	Loss: 0.479441	Accuracy: 0.860	MetaParam_1: 0.018781	MetaParam_2: -0.041049	MetaParam_3: 0.007982
Train Episode: 89	Loss: 0.328626	Accuracy: 0.880	MetaParam_1: 0.018781	MetaParam_2: -0.041338	MetaParam_3: 0.008231
Train Episode: 90	Loss: 1.357446	Accuracy: 0.460	MetaParam_1: 0.018797	MetaParam_2: -0.041632	MetaParam_3: 0.008443
Train Episode: 91	Loss: 0.483418	Accuracy: 0.800	MetaParam_1: 0.018765	MetaParam_2: -0.041802	MetaParam_3: 0.008698
Train Episode: 92	Loss: 0.318025	Accuracy: 0.840	MetaParam_1: 0.018740	MetaParam_2: -0.041954	MetaParam_3: 0.008928
Train Episode: 93	Loss: 1.504650	Accuracy: 0.440	MetaParam_1: 0.018725	MetaParam_2: -0.042113	MetaParam_3: 0.009167
Train Episode: 94	Loss: 0.975160	Accuracy: 0.560	MetaParam_1: 0.018678	MetaParam_2: -0.042355	MetaParam_3: 0.009376
Train Episode: 95	Loss: 1.571098	Accuracy: 0.460	MetaParam_1: 0.018646	MetaParam_2: -0.042554	MetaParam_3: 0.009813
Train Episode: 96	Loss: 0.683347	Accuracy: 0.780	MetaParam_1: 0.018596	MetaParam_2: -0.042691	MetaParam_3: 0.010133
Train Episode: 97	Loss: 1.298026	Accuracy: 0.480	MetaParam_1: 0.018547	MetaParam_2: -0.042894	MetaParam_3: 0.010373
Train Episode: 98	Loss: 0.976824	Accuracy: 0.580	MetaParam_1: 0.018480	MetaParam_2: -0.043086	MetaParam_3: 0.010618
Train Episode: 99	Loss: 0.784502	Accuracy: 0.660	MetaParam_1: 0.018398	MetaParam_2: -0.043262	MetaParam_3: 0.010784
Train Episode: 100	Loss: 1.621071	Accuracy: 0.440	MetaParam_1: 0.018301	MetaParam_2: -0.043428	MetaParam_3: 0.010922
Train Episode: 101	Loss: 0.527779	Accuracy: 0.820	MetaParam_1: 0.018311	MetaParam_2: -0.043599	MetaParam_3: 0.010748
Train Episode: 102	Loss: 0.425724	Accuracy: 0.880	MetaParam_1: 0.018331	MetaParam_2: -0.043788	MetaParam_3: 0.010606
Train Episode: 103	Loss: 0.514623	Accuracy: 0.720	MetaParam_1: 0.018357	MetaParam_2: -0.043999	MetaParam_3: 0.010463
