Train Episode: 59	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 60	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 61	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 62	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 63	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 64	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 65	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 66	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 67	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 68	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 69	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 70	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 71	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 72	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 73	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 74	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 75	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 76	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 77	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 78	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 79	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 80	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 81	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 82	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 83	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 84	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 85	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 86	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 87	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 88	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 89	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
