Train Episode: 40	Loss: 2.459270	Accuracy: 0.200	Current Training Data: 19	Number of Tasks: 1	Loss 2: 4.460596	Accuracy 2: 0.000	Current Training Data Per Class 2: 5 	Number of Tasks 2: 1	 Total loss: 3.459933	 Total Accuracy: 0.100
Train Episode: 41	Loss: 2.065041	Accuracy: 0.200	Current Training Data: 38	Number of Tasks: 1	Loss 2: 5.844814	Accuracy 2: 0.000	Current Training Data Per Class 2: 18 	Number of Tasks 2: 1	 Total loss: 3.954927	 Total Accuracy: 0.100
Train Episode: 42	Loss: 4.066114	Accuracy: 0.000	Current Training Data: 7	Number of Tasks: 1	Loss 2: 3.330358	Accuracy 2: 0.200	Current Training Data Per Class 2: 6 	Number of Tasks 2: 1	 Total loss: 3.698236	 Total Accuracy: 0.100
Train Episode: 43	Loss: 3.997979	Accuracy: 0.000	Current Training Data: 35	Number of Tasks: 1	Loss 2: 2.040297	Accuracy 2: 0.200	Current Training Data Per Class 2: 35 	Number of Tasks 2: 1	 Total loss: 3.019138	 Total Accuracy: 0.100
Train Episode: 44	Loss: 3.875270	Accuracy: 0.000	Current Training Data: 27	Number of Tasks: 1	Loss 2: 1.990029	Accuracy 2: 0.220	Current Training Data Per Class 2: 32 	Number of Tasks 2: 1	 Total loss: 2.932650	 Total Accuracy: 0.110
Train Episode: 45	Loss: 1.843682	Accuracy: 0.190	Current Training Data: 37	Number of Tasks: 1	Loss 2: 4.879813	Accuracy 2: 0.000	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 3.361748	 Total Accuracy: 0.095
Train Episode: 46	Loss: 2.709220	Accuracy: 0.300	Current Training Data: 27	Number of Tasks: 1	Loss 2: 5.349525	Accuracy 2: 0.000	Current Training Data Per Class 2: 9 	Number of Tasks 2: 1	 Total loss: 4.029373	 Total Accuracy: 0.150
Train Episode: 47	Loss: 3.594499	Accuracy: 0.000	Current Training Data: 37	Number of Tasks: 1	Loss 2: 2.009974	Accuracy 2: 0.200	Current Training Data Per Class 2: 30 	Number of Tasks 2: 1	 Total loss: 2.802237	 Total Accuracy: 0.100
Train Episode: 48	Loss: 3.588253	Accuracy: 0.000	Current Training Data: 18	Number of Tasks: 1	Loss 2: 2.291126	Accuracy 2: 0.210	Current Training Data Per Class 2: 19 	Number of Tasks 2: 1	 Total loss: 2.939690	 Total Accuracy: 0.105
Train Episode: 49	Loss: 2.895664	Accuracy: 0.040	Current Training Data: 12	Number of Tasks: 1	Loss 2: 2.213317	Accuracy 2: 0.090	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 2.554491	 Total Accuracy: 0.065
Train Episode: 50	Loss: 4.170712	Accuracy: 0.000	Current Training Data: 15	Number of Tasks: 1	Loss 2: 1.651619	Accuracy 2: 0.360	Current Training Data Per Class 2: 39 	Number of Tasks 2: 1	 Total loss: 2.911166	 Total Accuracy: 0.180
Train Episode: 51	Loss: 3.345329	Accuracy: 0.200	Current Training Data: 13	Number of Tasks: 1	Loss 2: 2.767805	Accuracy 2: 0.000	Current Training Data Per Class 2: 23 	Number of Tasks 2: 1	 Total loss: 3.056567	 Total Accuracy: 0.100
Train Episode: 52	Loss: 3.460201	Accuracy: 0.000	Current Training Data: 37	Number of Tasks: 1	Loss 2: 2.552336	Accuracy 2: 0.170	Current Training Data Per Class 2: 24 	Number of Tasks 2: 1	 Total loss: 3.006268	 Total Accuracy: 0.085
Train Episode: 53	Loss: 2.798822	Accuracy: 0.200	Current Training Data: 16	Number of Tasks: 1	Loss 2: 4.154810	Accuracy 2: 0.000	Current Training Data Per Class 2: 6 	Number of Tasks 2: 1	 Total loss: 3.476816	 Total Accuracy: 0.100
Train Episode: 54	Loss: 3.354997	Accuracy: 0.000	Current Training Data: 11	Number of Tasks: 1	Loss 2: 2.410109	Accuracy 2: 0.200	Current Training Data Per Class 2: 14 	Number of Tasks 2: 1	 Total loss: 2.882553	 Total Accuracy: 0.100
Train Episode: 55	Loss: 2.509315	Accuracy: 0.200	Current Training Data: 28	Number of Tasks: 1	Loss 2: 4.555767	Accuracy 2: 0.000	Current Training Data Per Class 2: 7 	Number of Tasks 2: 1	 Total loss: 3.532541	 Total Accuracy: 0.100
Train Episode: 56	Loss: 2.504712	Accuracy: 0.160	Current Training Data: 19	Number of Tasks: 1	Loss 2: 3.146191	Accuracy 2: 0.070	Current Training Data Per Class 2: 26 	Number of Tasks 2: 1	 Total loss: 2.825451	 Total Accuracy: 0.115
Train Episode: 57	Loss: 2.636229	Accuracy: 0.140	Current Training Data: 37	Number of Tasks: 1	Loss 2: 2.259334	Accuracy 2: 0.240	Current Training Data Per Class 2: 15 	Number of Tasks 2: 1	 Total loss: 2.447782	 Total Accuracy: 0.190
Train Episode: 58	Loss: 3.282428	Accuracy: 0.010	Current Training Data: 27	Number of Tasks: 1	Loss 2: 2.284230	Accuracy 2: 0.200	Current Training Data Per Class 2: 19 	Number of Tasks 2: 1	 Total loss: 2.783329	 Total Accuracy: 0.105
Train Episode: 59	Loss: 2.816447	Accuracy: 0.230	Current Training Data: 16	Number of Tasks: 1	Loss 2: 3.032250	Accuracy 2: 0.000	Current Training Data Per Class 2: 30 	Number of Tasks 2: 1	 Total loss: 2.924349	 Total Accuracy: 0.115
Train Episode: 60	Loss: 3.934035	Accuracy: 0.020	Current Training Data: 39	Number of Tasks: 1	Loss 2: 1.411562	Accuracy 2: 0.590	Current Training Data Per Class 2: 32 	Number of Tasks 2: 1	 Total loss: 2.672799	 Total Accuracy: 0.305
Train Episode: 61	Loss: 2.998823	Accuracy: 0.020	Current Training Data: 39	Number of Tasks: 1	Loss 2: 1.850508	Accuracy 2: 0.380	Current Training Data Per Class 2: 21 	Number of Tasks 2: 1	 Total loss: 2.424665	 Total Accuracy: 0.200
Train Episode: 62	Loss: 3.678812	Accuracy: 0.000	Current Training Data: 19	Number of Tasks: 1	Loss 2: 1.993450	Accuracy 2: 0.200	Current Training Data Per Class 2: 17 	Number of Tasks 2: 1	 Total loss: 2.836131	 Total Accuracy: 0.100
Train Episode: 63	Loss: 1.805793	Accuracy: 0.390	Current Training Data: 28	Number of Tasks: 1	Loss 2: 5.066320	Accuracy 2: 0.000	Current Training Data Per Class 2: 17 	Number of Tasks 2: 1	 Total loss: 3.436057	 Total Accuracy: 0.195
